Date,Dividends
2007-05-01,0.285
2007-06-01,0.239
2007-07-02,0.195
2007-08-01,0.232
2007-09-04,0.218
2007-10-01,0.198
2007-11-01,0.207
2007-12-03,0.178
2007-12-27,0.74
2008-02-01,0.161
2008-03-03,0.231
2008-04-01,0.256
2008-05-01,0.235
2008-06-02,0.246
2008-07-01,0.214
2008-08-01,0.208
2008-09-02,0.199
2008-10-01,0.22
2008-11-03,0.175
2008-12-01,0.19
2008-12-29,0.425
2009-02-02,0.179
2009-03-02,0.218
2009-04-01,0.25
2009-05-01,0.275
2009-06-01,0.273
2009-07-01,0.314
2009-08-03,0.233
2009-09-01,0.215
2009-10-01,0.208
2009-11-02,0.225
2009-12-01,0.268
2009-12-29,0.23
2010-02-01,0.19
2010-03-01,0.19
2010-04-01,0.209
2010-05-03,0.248
2010-06-01,0.244
2010-07-01,0.248
2010-08-02,0.309
2010-09-01,0.307
2010-10-01,0.228
2010-11-01,0.207
2010-12-01,0.246
2010-12-28,0.218
2011-02-01,0.22
2011-03-01,0.229
2011-04-01,0.215
2011-05-02,0.207
2011-06-01,0.211
2011-07-01,0.216
2011-08-01,0.212
2011-09-01,0.207
2011-10-03,0.201
2011-11-01,0.205
2011-12-01,0.18
2011-12-27,0.183
2012-02-01,0.176
2012-03-01,0.149
2012-04-02,0.187
2012-05-01,0.177
2012-06-01,0.202
2012-07-02,0.205
2012-08-01,0.21
2012-09-04,0.21
2012-10-01,0.203
2012-12-03,0.194
2012-12-26,0.26
2013-02-01,0.192
2013-03-01,0.1
2013-04-01,0.175
2013-05-01,0.173
2013-06-03,0.164
2013-07-01,0.158
2013-08-01,0.162
2013-09-03,0.157
2013-10-01,0.15
2013-11-01,0.153
2013-12-02,0.236
2013-12-26,0.614
2014-02-03,0.2
2014-03-03,0.22
2014-04-01,0.194
2014-05-01,0.191
2014-06-02,0.183
2014-07-01,0.183
2014-08-01,0.193
2014-09-02,0.191
2014-10-01,0.19
2014-11-03,0.189
2014-12-01,0.181
2014-12-24,0.378
2015-02-02,0.188
2015-03-02,0.17
2015-04-01,0.176
2015-05-01,0.184
2015-06-01,0.181
2015-07-02,0.182
2015-08-04,0.185
2015-09-01,0.173
2015-10-01,0.171
2015-11-02,0.151
2015-12-01,0.161
2015-12-24,0.318
2016-02-01,0.175
2016-03-01,0.197
2016-04-01,0.192
2016-05-02,0.182
2016-06-01,0.177
2016-07-06,0.173
2016-08-02,0.179
2016-09-01,0.171
2016-10-03,0.168
2016-11-01,0.179
2016-12-01,0.182
2016-12-22,0.203
2017-02-01,0.191
2017-03-01,0.191
2017-04-03,0.191
2017-05-02,0.185
2017-06-01,0.181
2017-07-06,0.179
2017-08-01,0.177
2017-09-01,0.177
2017-10-02,0.175
2017-11-01,0.191
2017-12-01,0.192
2017-12-21,0.099
2018-02-01,0.189
2018-03-01,0.172
2018-04-02,0.166
2018-05-01,0.18
2018-06-01,0.194
2018-07-03,0.194
2018-08-01,0.176
2018-09-04,0.161
2018-10-01,0.159
2018-11-01,0.156
2018-12-03,0.156
2018-12-18,0.258
2019-02-01,0.169
2019-03-01,0.178
2019-04-01,0.18
2019-05-02,0.172
2019-06-03,0.167
2019-07-02,0.161
2019-08-01,0.165
2019-09-03,0.16
2019-10-01,0.159
2019-11-01,0.166
2019-12-02,0.164
2019-12-19,0.155
2020-02-03,0.164
2020-03-02,0.16
2020-04-01,0.173
2020-05-01,0.17
2020-06-01,0.169
2020-07-01,0.167
2020-08-03,0.163
2020-09-01,0.16
2020-10-01,0.157
2020-11-02,0.152
2020-12-01,0.148
2020-12-17,0.061
2021-02-01,0.15
2021-03-01,0.15
2021-04-01,0.151
2021-05-03,0.156
2021-06-01,0.156
2021-07-01,0.154
2021-08-02,0.151
2021-09-01,0.152
2021-10-01,0.149
2021-11-01,0.137
2021-12-01,0.123
2021-12-16,0.126
2022-02-01,0.112
2022-03-01,0.122
2022-04-01,0.136
2022-05-02,0.123
2022-06-01,0.146
2022-07-01,0.133
2022-08-01,0.164
2022-09-01,0.151
2022-10-03,0.169
2022-11-01,0.17
2022-12-01,0.172
2022-12-15,0.237
2023-02-01,0.186
2023-03-01,0.19
2023-04-03,0.185
2023-05-01,0.171
2023-06-01,0.165
2023-07-03,0.158
2023-08-01,0.157
2023-09-01,0.154
2023-10-02,0.161
2023-11-01,0.173
2023-12-01,0.175
2023-12-14,0.193
2024-02-01,0.176
2024-03-01,0.17
2024-04-01,0.156
2024-05-01,0.16
2024-06-03,0.163
